tri,taille,cas,plage,temps
bulle_basique,1000,aleatoire,petite,0.001806
bulle_basique_v2,1000,aleatoire,petite,0.001130
bulle_optimise,1000,aleatoire,petite,0.001129
cocktail,1000,aleatoire,petite,0.000965
selection,1000,aleatoire,petite,0.000713
insertion,1000,aleatoire,petite,0.000354
comptage,1000,aleatoire,petite,0.000004
fusion,1000,aleatoire,petite,0.000108
rapide,1000,aleatoire,petite,0.000101
bulle_basique,1000,croissant,petite,0.001349
bulle_basique_v2,1000,croissant,petite,0.000680
bulle_optimise,1000,croissant,petite,0.000001
cocktail,1000,croissant,petite,0.000003
selection,1000,croissant,petite,0.000678
insertion,1000,croissant,petite,0.000003
comptage,1000,croissant,petite,0.000007
fusion,1000,croissant,petite,0.000071
rapide,1000,croissant,petite,0.000023
bulle_basique,1000,decroissant,petite,0.001839
bulle_basique_v2,1000,decroissant,petite,0.001212
bulle_optimise,1000,decroissant,petite,0.001242
cocktail,1000,decroissant,petite,0.001187
selection,1000,decroissant,petite,0.000780
insertion,1000,decroissant,petite,0.000757
comptage,1000,decroissant,petite,0.000014
fusion,1000,decroissant,petite,0.000074
rapide,1000,decroissant,petite,0.000036
bulle_basique,1000,constant,petite,0.001348
bulle_basique_v2,1000,constant,petite,0.000673
bulle_optimise,1000,constant,petite,0.000001
cocktail,1000,constant,petite,0.000003
selection,1000,constant,petite,0.000680
insertion,1000,constant,petite,0.000002
comptage,1000,constant,petite,0.000006
fusion,1000,constant,petite,0.000069
rapide,1000,constant,petite,0.001130
bulle_basique,1000,aleatoire,grande,0.001841
bulle_basique_v2,1000,aleatoire,grande,0.001178
bulle_optimise,1000,aleatoire,grande,0.001165
cocktail,1000,aleatoire,grande,0.000995
selection,1000,aleatoire,grande,0.000735
insertion,1000,aleatoire,grande,0.000388
comptage,1000,aleatoire,grande,0.002063
fusion,1000,aleatoire,grande,0.000128
rapide,1000,aleatoire,grande,0.000069
bulle_basique,1000,croissant,grande,0.001344
bulle_basique_v2,1000,croissant,grande,0.000663
bulle_optimise,1000,croissant,grande,0.000002
cocktail,1000,croissant,grande,0.000003
selection,1000,croissant,grande,0.000681
insertion,1000,croissant,grande,0.000002
comptage,1000,croissant,grande,0.000009
fusion,1000,croissant,grande,0.000071
rapide,1000,croissant,grande,0.000022
bulle_basique,1000,decroissant,grande,0.001835
bulle_basique_v2,1000,decroissant,grande,0.001202
bulle_optimise,1000,decroissant,grande,0.001210
cocktail,1000,decroissant,grande,0.001180
selection,1000,decroissant,grande,0.000777
insertion,1000,decroissant,grande,0.000739
comptage,1000,decroissant,grande,0.000007
fusion,1000,decroissant,grande,0.000076
rapide,1000,decroissant,grande,0.000036
bulle_basique,1000,constant,grande,0.001350
bulle_basique_v2,1000,constant,grande,0.000679
bulle_optimise,1000,constant,grande,0.000002
cocktail,1000,constant,grande,0.000004
selection,1000,constant,grande,0.000678
insertion,1000,constant,grande,0.000003
comptage,1000,constant,grande,0.000703
fusion,1000,constant,grande,0.000071
rapide,1000,constant,grande,0.001115
bulle_basique,3000,aleatoire,petite,0.016657
bulle_basique_v2,3000,aleatoire,petite,0.010640
bulle_optimise,3000,aleatoire,petite,0.010545
cocktail,3000,aleatoire,petite,0.009069
selection,3000,aleatoire,petite,0.006183
insertion,3000,aleatoire,petite,0.003050
comptage,3000,aleatoire,petite,0.000013
fusion,3000,aleatoire,petite,0.000341
rapide,3000,aleatoire,petite,0.000633
bulle_basique,3000,croissant,petite,0.012162
bulle_basique_v2,3000,croissant,petite,0.006053
bulle_optimise,3000,croissant,petite,0.000004
cocktail,3000,croissant,petite,0.000008
selection,3000,croissant,petite,0.006053
insertion,3000,croissant,petite,0.000008
comptage,3000,croissant,petite,0.000023
fusion,3000,croissant,petite,0.000219
rapide,3000,croissant,petite,0.000078
bulle_basique,3000,decroissant,petite,0.016401
bulle_basique_v2,3000,decroissant,petite,0.010841
bulle_optimise,3000,decroissant,petite,0.010959
cocktail,3000,decroissant,petite,0.010564
selection,3000,decroissant,petite,0.006870
insertion,3000,decroissant,petite,0.006547
comptage,3000,decroissant,petite,0.000020
fusion,3000,decroissant,petite,0.000234
rapide,3000,decroissant,petite,0.000104
bulle_basique,3000,constant,petite,0.012111
bulle_basique_v2,3000,constant,petite,0.006115
bulle_optimise,3000,constant,petite,0.000006
cocktail,3000,constant,petite,0.000008
selection,3000,constant,petite,0.006080
insertion,3000,constant,petite,0.000008
comptage,3000,constant,petite,0.000016
fusion,3000,constant,petite,0.000227
rapide,3000,constant,petite,0.010002
bulle_basique,3000,aleatoire,grande,0.016950
bulle_basique_v2,3000,aleatoire,grande,0.010817
bulle_optimise,3000,aleatoire,grande,0.010640
cocktail,3000,aleatoire,grande,0.009538
selection,3000,aleatoire,grande,0.006242
insertion,3000,aleatoire,grande,0.003229
comptage,3000,aleatoire,grande,0.002102
fusion,3000,aleatoire,grande,0.000434
rapide,3000,aleatoire,grande,0.000238
bulle_basique,3000,croissant,grande,0.012110
bulle_basique_v2,3000,croissant,grande,0.006067
bulle_optimise,3000,croissant,grande,0.000005
cocktail,3000,croissant,grande,0.000009
selection,3000,croissant,grande,0.006058
insertion,3000,croissant,grande,0.000008
comptage,3000,croissant,grande,0.000021
fusion,3000,croissant,grande,0.000229
rapide,3000,croissant,grande,0.000078
bulle_basique,3000,decroissant,grande,0.016467
bulle_basique_v2,3000,decroissant,grande,0.011046
bulle_optimise,3000,decroissant,grande,0.010926
cocktail,3000,decroissant,grande,0.010499
selection,3000,decroissant,grande,0.006823
insertion,3000,decroissant,grande,0.006421
comptage,3000,decroissant,grande,0.000021
fusion,3000,decroissant,grande,0.000238
rapide,3000,decroissant,grande,0.000104
bulle_basique,3000,constant,grande,0.012132
bulle_basique_v2,3000,constant,grande,0.006061
bulle_optimise,3000,constant,grande,0.000004
cocktail,3000,constant,grande,0.000009
selection,3000,constant,grande,0.006056
insertion,3000,constant,grande,0.000007
comptage,3000,constant,grande,0.000373
fusion,3000,constant,grande,0.000227
rapide,3000,constant,grande,0.010004
bulle_basique,5000,aleatoire,petite,0.050174
bulle_basique_v2,5000,aleatoire,petite,0.033068
bulle_optimise,5000,aleatoire,petite,0.033521
cocktail,5000,aleatoire,petite,0.029154
selection,5000,aleatoire,petite,0.017035
insertion,5000,aleatoire,petite,0.008470
comptage,5000,aleatoire,petite,0.000020
fusion,5000,aleatoire,petite,0.000616
rapide,5000,aleatoire,petite,0.001545
bulle_basique,5000,croissant,petite,0.033597
bulle_basique_v2,5000,croissant,petite,0.016908
bulle_optimise,5000,croissant,petite,0.000007
cocktail,5000,croissant,petite,0.000014
selection,5000,croissant,petite,0.016810
insertion,5000,croissant,petite,0.000013
comptage,5000,croissant,petite,0.000040
fusion,5000,croissant,petite,0.000387
rapide,5000,croissant,petite,0.000132
bulle_basique,5000,decroissant,petite,0.045529
bulle_basique_v2,5000,decroissant,petite,0.030041
bulle_optimise,5000,decroissant,petite,0.030220
cocktail,5000,decroissant,petite,0.029316
selection,5000,decroissant,petite,0.019008
insertion,5000,decroissant,petite,0.018264
comptage,5000,decroissant,petite,0.000032
fusion,5000,decroissant,petite,0.000420
rapide,5000,decroissant,petite,0.000178
bulle_basique,5000,constant,petite,0.033711
bulle_basique_v2,5000,constant,petite,0.017091
bulle_optimise,5000,constant,petite,0.000008
cocktail,5000,constant,petite,0.000013
selection,5000,constant,petite,0.017040
insertion,5000,constant,petite,0.000012
comptage,5000,constant,petite,0.000024
fusion,5000,constant,petite,0.000395
rapide,5000,constant,petite,0.027882
bulle_basique,5000,aleatoire,grande,0.050421
bulle_basique_v2,5000,aleatoire,grande,0.033905
bulle_optimise,5000,aleatoire,grande,0.032859
cocktail,5000,aleatoire,grande,0.028822
selection,5000,aleatoire,grande,0.017160
insertion,5000,aleatoire,grande,0.009151
comptage,5000,aleatoire,grande,0.002070
fusion,5000,aleatoire,grande,0.000711
rapide,5000,aleatoire,grande,0.000402
bulle_basique,5000,croissant,grande,0.033673
bulle_basique_v2,5000,croissant,grande,0.016587
bulle_optimise,5000,croissant,grande,0.000007
cocktail,5000,croissant,grande,0.000014
selection,5000,croissant,grande,0.016892
insertion,5000,croissant,grande,0.000013
comptage,5000,croissant,grande,0.000034
fusion,5000,croissant,grande,0.000419
rapide,5000,croissant,grande,0.000133
bulle_basique,5000,decroissant,grande,0.045135
bulle_basique_v2,5000,decroissant,grande,0.029784
bulle_optimise,5000,decroissant,grande,0.029957
cocktail,5000,decroissant,grande,0.028995
selection,5000,decroissant,grande,0.019456
insertion,5000,decroissant,grande,0.018187
comptage,5000,decroissant,grande,0.000038
fusion,5000,decroissant,grande,0.000409
rapide,5000,decroissant,grande,0.000175
bulle_basique,5000,constant,grande,0.033557
bulle_basique_v2,5000,constant,grande,0.016742
bulle_optimise,5000,constant,grande,0.000007
cocktail,5000,constant,grande,0.000014
selection,5000,constant,grande,0.016766
insertion,5000,constant,grande,0.000013
comptage,5000,constant,grande,0.002042
fusion,5000,constant,grande,0.000469
rapide,5000,constant,grande,0.027503
bulle_basique,7000,aleatoire,petite,0.105664
bulle_basique_v2,7000,aleatoire,petite,0.070542
bulle_optimise,7000,aleatoire,petite,0.070590
cocktail,7000,aleatoire,petite,0.059183
selection,7000,aleatoire,petite,0.032819
insertion,7000,aleatoire,petite,0.016308
comptage,7000,aleatoire,petite,0.000028
fusion,7000,aleatoire,petite,0.000832
rapide,7000,aleatoire,petite,0.002905
bulle_basique,7000,croissant,petite,0.065212
bulle_basique_v2,7000,croissant,petite,0.032914
bulle_optimise,7000,croissant,petite,0.000010
cocktail,7000,croissant,petite,0.000019
selection,7000,croissant,petite,0.033134
insertion,7000,croissant,petite,0.000017
comptage,7000,croissant,petite,0.000051
fusion,7000,croissant,petite,0.000583
rapide,7000,croissant,petite,0.000194
bulle_basique,7000,decroissant,petite,0.088391
bulle_basique_v2,7000,decroissant,petite,0.058817
bulle_optimise,7000,decroissant,petite,0.059293
cocktail,7000,decroissant,petite,0.056784
selection,7000,decroissant,petite,0.036997
